Arrow Name              	Arrow Status            	Arrow Source            	Arrow Source Type       	Arrow Dest.             	Arrow Dest. Type        	
________________________	________________________	________________________	________________________	________________________	________________________	

Абитуриент с личным     	WORKING                 	Заведение  личного дела 	Output                  	Подписание личного  дела	Input                   	
делом                   	                        	                        	                        	деканатом               	                        	

Абитуриенты             	WORKING                 	{ Border }              	Input                   	Рассказ о доступных     	Input                   	
                        	                        	                        	                        	направлениях            	                        	

Абитуриенты подавшие    	WORKING                 	Подписание личного  дела	Output                  	Формирование списка     	Input                   	
документы               	                        	деканатом               	                        	поступивших             	                        	

Выполненная работа      	WORKING                 	Выполнение  лабораторной	Output                  	Проверка  лабораторной  	Input                   	
                        	                        	работы                  	                        	работы                  	                        	

Выполненный тест        	WORKING                 	Выполнение теста        	Output                  	Проверка теста          	Input                   	

Исправленная работа     	WORKING                 	Исправление ошибок      	Output                  	Проверка  лабораторной  	Input                   	
                        	                        	                        	                        	работы                  	                        	

Исправленные документы  	WORKING                 	Возврат документов      	Output                  	Прием и проверка        	Input                   	
                        	                        	                        	                        	документов              	                        	

Источники материалов    	WORKING                 	{ Border }              	Input                   	Подготовка материалов   	Input                   	
                        	                        	                        	                        	для лекции              	                        	

Квалифицированные       	WORKING                 	Выпуск и трудоустройство	Output                  	{ Border }              	Output                  	
работники               	                        	                        	                        	                        	                        	

Материалы к лекции      	WORKING                 	Подготовка материалов   	Output                  	Рассказ материала       	Control                 	
                        	                        	для лекции              	                        	студентам               	                        	

Не принятые абитуриенты 	WORKING                 	Формирование списка     	Output                  	{ Border }              	Output                  	
                        	                        	поступивших             	                        	                        	                        	

                        	                        	Возврат документов      	Output                  	                        	                        	

Неправильные документы  	WORKING                 	Прием и проверка        	Output                  	Возврат документов      	Input                   	
                        	                        	документов              	                        	                        	                        	

Обученные материалу     	WORKING                 	Рассказ материала       	Output                  	Выдача методички        	Input                   	
студенты                	                        	студентам               	                        	                        	                        	

                        	                        	                        	                        	Выдача  листа с тестом  	Input                   	

Отчисленные студенты    	WORKING                 	Проведение экзамена     	Output                  	{ Border }              	Output                  	

Правильные документы    	WORKING                 	Прием и проверка        	Output                  	Заведение  личного дела 	Input                   	
                        	                        	документов              	                        	                        	                        	

Преподавательский состав	WORKING                 	{ Border }              	Mechanism               	Выпуск и трудоустройство	Mechanism               	

                        	                        	                        	                        	Формирование списка     	Mechanism               	
                        	                        	                        	                        	поступивших             	                        	

                        	                        	                        	                        	Проведение экзамена     	Mechanism               	

                        	                        	                        	                        	Рассказ о доступных     	Mechanism               	
                        	                        	                        	                        	направлениях            	                        	

                        	                        	                        	                        	Прием и проверка        	Mechanism               	
                        	                        	                        	                        	документов              	                        	

                        	                        	                        	                        	Заведение  личного дела 	Mechanism               	

                        	                        	                        	                        	Возврат документов      	Mechanism               	

                        	                        	                        	                        	Подписание личного  дела	Mechanism               	
                        	                        	                        	                        	деканатом               	                        	

                        	                        	                        	                        	Подготовка материалов   	Mechanism               	
                        	                        	                        	                        	для лекции              	                        	

                        	                        	                        	                        	Учет посещаемости       	Mechanism               	
                        	                        	                        	                        	студентов в журнале     	                        	

