Arrow Name              	Arrow Status            	Arrow Source            	Arrow Source Type       	Arrow Dest.             	Arrow Dest. Type        	
________________________	________________________	________________________	________________________	________________________	________________________	

Абитуриент отправивший  	WORKING                 	Прием документов  в     	Output                  	Формирование  записи в  	Input                   	
документы               	                        	онлайн формате          	                        	БД                      	                        	

Абитуриенты             	WORKING                 	{ Border }              	Input                   	Показ информации  об    	Input                   	
                        	                        	                        	                        	универе                 	                        	

Абитуриенты подавшие    	WORKING                 	Формирование  записи в  	Output                  	Формирование списка     	Input                   	
документы               	                        	БД                      	                        	поступивших  и          	                        	
                        	                        	                        	                        	отображение его на сайте	                        	

Билеты                  	WORKING                 	Экзаменационные билеты  	External                	Подготовка              	Input                   	
                        	                        	                        	                        	экзаменационных  билетов	                        	
                        	                        	                        	                        	преподавателем          	                        	

Выполненный тест        	WORKING                 	Выполнение теста        	Output                  	Автоматическая  проверка	Input                   	
                        	                        	                        	                        	теста  сайтом           	                        	

Выполнивший работу      	WORKING                 	Выполнение  студентом   	Output                  	Ответ экзамена          	Input                   	
студент                 	                        	работы                  	                        	                        	                        	

Запись лекции           	WORKING                 	Запись лекций на видео  	Output                  	Размещение записей      	Input                   	
                        	                        	                        	                        	лекций на сайте         	                        	

Информация для          	WORKING                 	Заполнение сайта        	Output                  	{ Border }              	Output                  	
абитуриентов            	                        	информацией для         	                        	                        	                        	
                        	                        	абитуриентов            	                        	                        	                        	

                        	                        	                        	                        	Показ информации  об    	Input                   	
                        	                        	                        	                        	универе                 	                        	

Информация о предыдущих 	WORKING                 	Выпуск и трудоустройство	Output                  	Заполнение сайта        	Input                   	
годах                   	                        	                        	                        	информацией для         	                        	
                        	                        	                        	                        	абитуриентов            	                        	

Исправленная работа     	WORKING                 	Исправление ошибок      	Output                  	Проверка  лабораторной  	Input                   	
                        	                        	                        	                        	работы                  	                        	

Источники материалов    	WORKING                 	{ Border }              	Input                   	Подготовка материалов   	Input                   	
                        	                        	                        	                        	для лекции              	                        	

Квалифицированные       	WORKING                 	Выпуск и трудоустройство	Output                  	{ Border }              	Output                  	
работники               	                        	                        	                        	                        	                        	

Лекция                  	WORKING                 	Рассказ материала       	Output                  	Запись лекций на видео  	Input                   	
                        	                        	студентам               	                        	                        	                        	

Материалы для изучения  	WORKING                 	Размещение записей      	Output                  	{ Border }              	Output                  	
                        	                        	лекций на сайте         	                        	                        	                        	

Материалы к лекции      	WORKING                 	Подготовка материалов   	Output                  	Рассказ материала       	Control                 	
                        	                        	для лекции              	                        	студентам               	                        	

                        	                        	                        	                        	Запись лекций на видео  	Control                 	

                        	                        	                        	                        	Размещение записей      	Control                 	
                        	                        	                        	                        	лекций на сайте         	                        	

Не принятые абитуриенты 	WORKING                 	Формирование списка     	Output                  	{ Border }              	Output                  	
                        	                        	поступивших  и          	                        	                        	                        	
                        	                        	отображение его на сайте	                        	                        	                        	

Обученные материалу     	WORKING                 	Рассказ материала       	Output                  	Размещение методички на 	Input                   	
студенты                	                        	студентам               	                        	сайте                   	                        	

                        	                        	                        	                        	Открытие  теста на сайте	Input                   	

